Date Time,HighRange,temp,Specific Conductance.factory.calibration (μS/cm),Salinity.factory.calibration (ppt)
06/02/23 11:00:00.000,0,24.38,0,0.012302925989673
06/02/23 11:10:00.000,0,24.84,0,0.012302925989673
06/02/23 11:20:00.000,0,25.2,0,0.012302925989673
06/02/23 11:30:00.000,0,26.51,0,0.012302925989673
06/02/23 11:40:00.000,0,26.41,0,0.012302925989673
06/02/23 11:50:00.000,0,27.09,0,0.012302925989673
06/02/23 12:00:00.000,0,31.18,0,0.012302925989673
06/02/23 12:10:00.000,30064.6,22.22,31811.4419846905,19.8106896597422
06/02/23 12:20:00.000,30697.7,21.81,32758.2788655567,20.4616731647267
06/02/23 12:30:00.000,30687.6,21.7,32822.6764600959,20.5060405892
06/02/23 12:40:00.000,30685.1,21.73,32799.4805102467,20.4900581442974
06/02/23 12:50:00.000,30712.8,21.73,32829.0494907493,20.5104319915996
06/02/23 13:00:00.000,30730.4,21.75,32834.1454484207,20.5139434957763
06/02/23 13:10:00.000,30738,21.75,32842.2549069041,20.5195316826078
06/02/23 13:20:00.000,30760.8,21.78,32846.0440745725,20.5221428421852
06/02/23 13:30:00.000,30735.5,21.78,32819.0646524224,20.5035518865705
06/02/23 13:40:00.000,30722.9,21.8,32791.9638894431,20.4848793756973
06/02/23 13:50:00.000,30722.9,21.84,32764.663814102,20.4660716242178
06/02/23 14:00:00.000,30788.6,21.89,32800.496619271,20.4907582308374
06/02/23 14:10:00.000,30796.2,21.9,32801.7599002477,20.4916286198375
06/02/23 14:20:00.000,30770.9,21.97,32727.1900390758,20.4402583500615
06/02/23 14:30:00.000,30854.6,22.12,32714.1004913996,20.4312427326091
06/02/23 14:40:00.000,30869.8,22.04,32784.5577321822,20.4797768690385
06/02/23 14:50:00.000,30874.9,22.04,32789.9675229502,20.4835039545001
06/02/23 15:00:00.000,30887.7,22.01,32823.9807377352,20.5069393058552
06/02/23 15:10:00.000,30844.4,22.05,32750.8169982666,20.4565329832996
06/02/23 15:20:00.000,30798.7,22.02,32722.7217538319,20.4371806990753
06/02/23 15:30:00.000,30849.5,21.99,32797.0548218392,20.4883868867374
06/02/23 15:40:00.000,30781,22.13,32629.3909374793,20.3729094390753
06/02/23 15:50:00.000,30862.2,22.17,32688.258973251,20.4134454234716
06/02/23 16:00:00.000,30910.6,22.38,32597.5496800789,20.3509879084049
06/02/23 16:10:00.000,30895.3,22.23,32682.6441130002,20.4095786620637
06/02/23 16:20:00.000,30913.2,22.26,32681.2621420867,20.40862695976
06/02/23 16:30:00.000,30846.9,22.32,32570.8041320528,20.3325767915465
06/02/23 16:40:00.000,30836.8,22.42,32492.9532751128,20.278997240306
06/02/23 16:50:00.000,30813.9,22.58,32361.8932616341,20.1888359771881
06/02/23 17:00:00.000,30849.5,22.57,32405.9201431269,20.2191183698249
06/02/23 17:10:00.000,30836.8,22.36,32533.2440640606,20.3067245703377
06/02/23 17:20:00.000,30854.6,22.58,32404.5962530689,20.2182076973061
06/02/23 17:30:00.000,30824.1,22.54,32399.2871102021,20.2145557137484
06/02/23 17:40:00.000,30885.1,22.54,32463.3407394937,20.2586213922401
06/02/23 17:50:00.000,30869.8,22.53,32453.9632839785,20.2521694508734
06/02/23 18:00:00.000,30839.3,22.39,32515.7212976845,20.2946651842848
06/02/23 18:10:00.000,30849.5,22.38,32533.1834163811,20.3066828303572
06/02/23 18:20:00.000,30864.7,22.36,32562.6474755689,20.3269623082081
06/02/23 18:30:00.000,30844.4,22.34,32554.7057679809,20.3214959610214
06/02/23 18:40:00.000,30857.1,22.42,32514.3212184911,20.2937016696784
06/02/23 18:50:00.000,30864.7,22.29,32609.8013089226,20.3594223649052
06/02/23 19:00:00.000,30844.4,22.32,32568.1672835562,20.3307617452496
06/02/23 19:10:00.000,30867.3,22.38,32551.9349865249,20.3195888495811
06/02/23 19:20:00.000,30852,22.29,32596.3979909514,20.3501950664302
06/02/23 19:30:00.000,30859.7,22.32,32584.304790205,20.3418701311569
06/02/23 19:40:00.000,30887.7,22.39,32566.6983880713,20.3297506553375
06/02/23 19:50:00.000,30918.3,22.46,32551.8574133638,20.3195354567737
06/02/23 20:00:00.000,30933.6,22.46,32567.9492321648,20.3306116527967
06/02/23 20:10:00.000,30905.5,22.42,32565.267347885,20.3287656283386
06/02/23 20:20:00.000,30971.9,22.55,32547.7777888074,20.3167275171213
06/02/23 20:30:00.000,30943.8,22.47,32571.9566962336,20.3333701528525
06/02/23 20:40:00.000,30964.3,22.53,32553.2135968747,20.3204689063515
06/02/23 20:50:00.000,30977.1,22.59,32526.4247915488,20.3020313592222
06/02/23 21:00:00.000,30964.3,22.52,32559.9243847768,20.3250879608487
06/02/23 21:10:00.000,30941.2,22.52,32535.6583473753,20.3083861780016
06/02/23 21:20:00.000,30979.6,22.57,32542.4497749935,20.3130604019251
06/02/23 21:30:00.000,30956.6,22.59,32504.9204035293,20.2872323054927
06/02/23 21:40:00.000,31007.8,22.69,32491.6958711281,20.2781319931942
06/02/23 21:50:00.000,31036,22.74,32487.8084257154,20.275456985394
06/02/23 22:00:00.000,31018.1,22.69,32502.4787381383,20.2855520639807
06/02/23 22:10:00.000,31010.4,22.68,32501.1011903021,20.2846041065075
06/02/23 22:20:00.000,30979.6,22.63,32502.2701112101,20.2854084973299
06/02/23 22:30:00.000,30964.3,22.6,32506.3031313713,20.2881838424746
06/02/23 22:40:00.000,30925.9,22.5,32532.9982863418,20.3065554170677
06/02/23 22:50:00.000,30925.9,22.53,32512.883372797,20.2927121704531
06/02/23 23:00:00.000,30984.7,22.65,32494.2388294776,20.2798818629164
06/02/23 23:10:00.000,30964.3,22.62,32492.9210184038,20.2789750437051
06/02/23 23:20:00.000,30948.9,22.53,32537.0395067484,20.3093367552664
06/02/23 23:30:00.000,31002.7,22.57,32566.691293268,20.3297457717618
06/02/23 23:40:00.000,31033.5,22.62,32565.4674263086,20.3289033478483
06/02/23 23:50:00.000,30987.3,22.58,32543.8262449263,20.3140077780318
06/03/23 00:00:00.000,30995,22.52,32592.1740059909,20.3472872368089
06/03/23 00:10:00.000,31005.2,22.48,32629.7899881739,20.3731841888604
06/03/23 00:20:00.000,31000.1,22.42,32664.8434666007,20.3973205545271
06/03/23 00:30:00.000,31007.8,22.38,32699.9452950422,20.4214936762599
06/03/23 00:40:00.000,30987.3,22.33,32712.1264880345,20.4298831507187
06/03/23 00:50:00.000,31020.6,22.29,32774.3341179052,20.4727335154137
06/03/23 01:00:00.000,30977.1,22.25,32755.5182254302,20.4597714521059
06/03/23 01:10:00.000,31012.9,22.25,32793.331113134,20.4858213476995
06/03/23 01:20:00.000,30989.9,22.25,32769.0379266038,20.4690849263213
06/03/23 01:30:00.000,31005.2,22.27,32771.6350916551,20.4708741245157
06/03/23 01:40:00.000,31005.2,22.27,32771.6350916551,20.4708741245157
06/03/23 01:50:00.000,30982.2,22.25,32760.9049826315,20.4634822287973
06/03/23 02:00:00.000,31005.2,22.27,32771.6350916551,20.4708741245157
06/03/23 02:10:00.000,30997.5,22.25,32777.0652441822,20.4746150412342
06/03/23 02:20:00.000,30979.6,22.23,32771.7203564887,20.4709328641484
06/03/23 02:30:00.000,30956.6,22.22,32754.1966692082,20.458861083821
06/03/23 02:40:00.000,30974.5,22.22,32773.1146422407,20.4718934017642
06/03/23 02:50:00.000,30971.9,22.23,32763.58411142,20.4653278312383
06/03/23 03:00:00.000,30936.1,22.26,32705.4449203321,20.4252813460344
06/03/23 03:10:00.000,30992.4,22.29,32744.5726848807,20.452231646258
06/03/23 03:20:00.000,30920.8,22.33,32642.0009627984,20.3815917650659
06/03/23 03:30:00.000,30941.2,22.31,32677.0207043662,20.4057061025633
06/03/23 03:40:00.000,30964.3,22.37,32660.8659635303,20.3945816376224
06/03/23 03:50:00.000,30941.2,22.28,32697.2995918494,20.4196715733293
06/03/23 04:00:00.000,30925.9,22.26,32694.6735560172,20.4178630348307
06/03/23 04:10:00.000,30931,22.27,32693.2947405758,20.4169134589012
06/03/23 04:20:00.000,30915.7,22.26,32683.9021850183,20.4104450453442
06/03/23 04:30:00.000,30900.4,22.26,32667.7451159839,20.3993186644207
06/03/23 04:40:00.000,30882.6,22.27,32642.193836604,20.3817245671048
06/03/23 04:50:00.000,30887.7,22.36,32586.8868109069,20.343647554481
06/03/23 05:00:00.000,30872.4,22.26,32638.1765846621,20.3789585353081
06/03/23 05:10:00.000,30872.4,22.32,32597.6999642969,20.3510913668387
06/03/23 05:20:00.000,30854.6,22.38,32538.5560592491,20.3103805224862
06/03/23 05:30:00.000,30862.2,22.37,32553.2863879096,20.3205190079483
06/03/23 05:40:00.000,30836.8,22.37,32526.5231030431,20.3020990189687
06/03/23 05:50:00.000,30844.4,22.41,32507.6640220301,20.2891203572587
06/03/23 06:00:00.000,30834.2,22.33,32550.679188012,20.3187244984898
06/03/23 06:10:00.000,30793.7,22.37,32481.1097217128,20.2708476095809
06/03/23 06:20:00.000,30765.8,22.28,32512.1485074721,20.2922064517675
06/03/23 06:30:00.000,30763.3,22.18,32576.8777997284,20.3367576098574
06/03/23 06:40:00.000,30760.8,22.16,32587.7341777128,20.3442308728441
06/03/23 06:50:00.000,30725.4,22.11,32584.0298623786,20.3416808761772
06/03/23 07:00:00.000,30690.1,22.05,32587.1764213155,20.3438469190012
06/03/23 07:10:00.000,30715.3,22.05,32613.9020214324,20.3622455354574
06/03/23 07:20:00.000,30700.2,22.05,32597.8878774963,20.3512207298485
06/03/23 07:30:00.000,30685.1,22.04,32588.6372177635,20.3448525183069
06/03/23 07:40:00.000,20482.8,22.01,21776.2181711426,13.0750371046899
06/03/23 07:50:00.000,20830.4,21.97,22163.9755482042,13.3293835549369
06/03/23 08:00:00.000,20748.2,21.92,22099.713899933,13.2871964696824
06/03/23 08:10:00.000,21997.7,21.9,23439.1144829089,14.1693484548756
06/03/23 08:20:00.000,20603.7,21.86,21973.5519963618,13.2044130884881
06/03/23 08:30:00.000,20944.2,21.86,22336.3444652071,13.4426105642705
06/03/23 08:40:00.000,20238.3,21.86,21584.2176712601,12.9492849128092
06/03/23 08:50:00.000,20205.7,21.85,21554.001434264,12.9295060202695
06/03/23 09:00:00.000,18449.5,21.84,19686.3389478575,11.7131386506685
06/03/23 09:10:00.000,16358.3,21.8,17471.3538399747,10.2869281584482
06/03/23 09:20:00.000,14781.1,21.78,15794.6863477862,9.21989132366018
06/03/23 09:30:00.000,12746.4,21.76,13627.560197538,7.8580164647324
06/03/23 09:40:00.000,26411.8,21.73,28237.1069195615,17.3764388329034
06/03/23 09:50:00.000,30622.2,21.7,32752.8207933977,20.4579133021162
06/03/23 10:00:00.000,30659.9,21.7,32793.0893155047,20.4856547567304
06/03/23 10:10:00.000,30667.4,21.69,32807.9430869367,20.4958888433947
06/03/23 10:20:00.000,30637.3,21.66,32796.3089033543,20.4878729650637
06/03/23 10:30:00.000,30634.8,21.65,32800.481665678,20.4907479279759
06/03/23 10:40:00.000,30629.8,21.62,32815.6824743701,20.5012214425951
06/03/23 10:50:00.000,30642.3,21.64,32815.3501363169,20.5009924512946
06/03/23 11:00:00.000,30607.2,21.59,32812.0568919728,20.4987233198334
06/03/23 11:10:00.000,30612.2,21.59,32817.4095722294,20.5024114719672
