Date Time,DO conc (mg/L)  #20659182,Temp (°C)  #20659182,do_adj,DO Percent  (%),Salinity (ppt),Coupler Attached,Stopped,End Of File
06/02/23 11:00:00.000,8.49,21.76,,,,,,
06/02/23 11:10:00.000,8.52,21.62,,,,,,
06/02/23 11:20:00.000,8.53,21.58,,,,,,
06/02/23 11:30:00.000,8.46,21.96,,,,,,
06/02/23 11:40:00.000,8.48,21.78,,,,,,
06/02/23 11:50:00.000,8.39,22.34,,,,,,
06/02/23 12:00:00.000,7.86,26.66,,,,,,
06/02/23 12:10:00.000,7.37,22,6.41,86.50255184,28.4735,,,
06/02/23 12:20:00.000,7.57,21.32,6.541918141,87.68541346,29.4197,,,
06/02/23 12:30:00.000,7.1,20.82,6.12932937,81.43944212,29.4834,,,
06/02/23 12:40:00.000,7.33,20.74,6.327949484,83.94334192,29.4592,,,
06/02/23 12:50:00.000,7.06,20.7,6.093343021,80.78550874,29.4879,,,
06/02/23 13:00:00.000,7.89,20.72,6.809516464,90.31589797,29.4921,,,
06/02/23 13:10:00.000,7.6,20.72,6.558767654,86.99385195,29.4993,,,
06/02/23 13:20:00.000,7.72,20.76,6.66237259,88.43439629,29.5022,,,
06/02/23 13:30:00.000,7.66,20.76,6.611494311,87.74461078,29.4742,,,
06/02/23 13:40:00.000,7.6,20.78,6.560776151,87.08904944,29.4461,,,
06/02/23 13:50:00.000,7.52,20.8,6.492780501,86.20372261,29.4178,,,
06/02/23 14:00:00.000,7.77,20.84,6.707410318,89.13693898,29.4528,,,
06/02/23 14:10:00.000,7.43,20.9,6.414209939,85.33437328,29.4532,,,
06/02/23 14:20:00.000,8.48,20.92,7.323896907,97.42915654,29.3775,,,
06/02/23 14:30:00.000,9.4,21.02,8.119960439,108.2078057,29.3634,,,
06/02/23 14:40:00.000,8.08,21.06,6.97702088,93.08280096,29.4331,,,
06/02/23 14:50:00.000,7.67,21.02,6.622285708,88.28799001,29.4376,,,
06/02/23 15:00:00.000,7.77,20.98,6.706783543,89.36660414,29.4708,,,
06/02/23 15:10:00.000,7.82,21,6.752869274,89.97434141,29.3965,,,
06/02/23 15:20:00.000,7.99,21.02,6.90082817,91.96367883,29.3675,,,
06/02/23 15:30:00.000,7.6,20.96,6.560468786,87.36976,29.441,,,
06/02/23 15:40:00.000,7.98,21.04,6.895837917,91.8793239,29.2721,,,
