Date Time,High Range (μS/cm)  #20636185,Temp (°C)  #20636185,Specific Conductance (μS/cm),Salinity (ppt),Coupler Detached,Coupler Attached,Stopped,End Of File
06/02/23 19:50:00.000,30918.3,22.46,45102.43856,29.1715854,,,,
06/02/23 20:00:00.000,30933.6,22.46,45123.46297,29.18676205,,,,
06/02/23 20:10:00.000,30905.5,22.42,45118.47557,29.18316175,,,,
06/02/23 20:20:00.000,30971.9,22.55,45092.97324,29.16475315,,,,
06/02/23 20:30:00.000,30943.8,22.47,45125.19978,29.18801583,,,,
06/02/23 20:40:00.000,30964.3,22.53,45097.96195,29.16835407,,,,
06/02/23 20:50:00.000,30977.1,22.59,45059.57968,29.14065088,,,,
06/02/23 21:00:00.000,30964.3,22.52,45104.71602,29.17322935,,,,
06/02/23 21:10:00.000,30941.2,22.52,45069.83023,29.14804906,,,,
06/02/23 21:20:00.000,30979.6,22.57,45077.9673,29.15392205,,,,
06/02/23 21:30:00.000,30956.6,22.59,45024.71218,29.11548784,,,,
06/02/23 21:40:00.000,31007.8,22.69,45005.12527,29.1013538,,,,
06/02/23 21:50:00.000,31036,22.74,44998.47208,29.09655305,,,,
06/02/23 22:00:00.000,31018.1,22.69,45017.5226,29.11029968,,,,
06/02/23 22:10:00.000,31010.4,22.68,45014.34553,29.10800708,,,,
06/02/23 22:20:00.000,30979.6,22.63,45014.69535,29.10825951,,,,
06/02/23 22:30:00.000,30964.3,22.6,45019.01166,29.11137421,,,,
06/02/23 22:40:00.000,30925.9,22.5,45054.71228,29.13713801,,,,
06/02/23 22:50:00.000,30925.9,22.53,45025.58573,29.11611822,,,,
06/02/23 23:00:00.000,30984.7,22.65,44998.49693,29.09657098,,,,
06/02/23 23:10:00.000,30964.3,22.62,44995.40322,29.09433868,,,,
06/02/23 23:20:00.000,30948.9,22.53,45055.22693,29.13750943,,,,
06/02/23 23:30:00.000,31002.7,22.57,45095.01518,29.16622704,,,,
06/02/23 23:40:00.000,31033.5,22.62,45092.04888,29.16408594,,,,
06/02/23 23:50:00.000,30987.3,22.58,45060.81246,29.14154061,,,,
06/03/23 00:00:00.000,30995,22.52,45126.48305,29.18894222,,,,
06/03/23 00:10:00.000,31005.2,22.48,45177.29128,29.22562366,,,,
06/03/23 00:20:00.000,31000.1,22.42,45224.54877,29.25974758,,,,
06/03/23 00:30:00.000,31007.8,22.38,45271.87046,29.29392362,,,,
06/03/23 00:40:00.000,30987.3,22.33,45287.45754,29.30518197,,,,
06/03/23 00:50:00.000,31020.6,22.29,45372.29951,29.36647322,,,,
06/03/23 01:00:00.000,30977.1,22.25,45344.97203,29.34672938,,,,
06/03/23 01:10:00.000,31012.9,22.25,45396.03764,29.38362536,,,,
06/03/23 01:20:00.000,30989.9,22.25,45361.12885,29.3584023,,,,
06/03/23 01:30:00.000,31005.2,22.27,45363.44436,29.36007525,,,,
06/03/23 01:40:00.000,31005.2,22.27,45362.1647,29.35915069,,,,
06/03/23 01:50:00.000,30982.2,22.25,45346.03294,29.34749584,,,,
06/03/23 02:00:00.000,31005.2,22.27,45359.60537,29.35730159,,,,
06/03/23 02:10:00.000,30997.5,22.25,45365.84143,29.36180715,,,,
06/03/23 02:20:00.000,30979.6,22.23,45357.16405,29.35553776,,,,
06/03/23 02:30:00.000,30956.6,22.22,45331.63169,29.3370918,,,,
06/03/23 02:40:00.000,30974.5,22.22,45356.53434,29.3550828,,,,
06/03/23 02:50:00.000,30971.9,22.23,45342.06516,29.3446293,,,,
06/03/23 03:00:00.000,30936.1,22.26,45260.32829,29.28558726,,,,
06/03/23 03:10:00.000,30992.4,22.29,45313.19772,29.32377515,,,,
06/03/23 03:20:00.000,30920.8,22.33,45169.98043,29.22034512,,,,
06/03/23 03:30:00.000,30941.2,22.31,45217.16475,29.25441531,,,,
06/03/23 03:40:00.000,30964.3,22.37,45193.53512,29.23735245,,,,
06/03/23 03:50:00.000,30941.2,22.28,45242.67235,29.27283587,,,,
06/03/23 04:00:00.000,30925.9,22.26,45237.76209,29.26928975,,,,
06/03/23 04:10:00.000,30931,22.27,45234.5777,29.26699005,,,,
06/03/23 04:20:00.000,30915.7,22.26,45220.30588,29.25668362,,,,
06/03/23 04:30:00.000,30900.4,22.26,45196.67591,29.23962032,,,,
06/03/23 04:40:00.000,30882.6,22.27,45160.05044,29.21317574,,,,
06/03/23 04:50:00.000,30887.7,22.36,45082.26144,29.15702145,,,,
06/03/23 05:00:00.000,30872.4,22.26,45151.94372,29.20732294,,,,
06/03/23 05:10:00.000,30872.4,22.32,45094.67513,29.16598159,,,,
06/03/23 05:20:00.000,30854.6,22.38,45011.58667,29.10601628,,,,
06/03/23 05:30:00.000,30862.2,22.37,45030.69245,29.11980344,,,,
06/03/23 05:40:00.000,30836.8,22.37,44992.40093,29.09217237,,,,
06/03/23 05:50:00.000,30844.4,22.41,44965.0447,29.0724345,,,,
06/03/23 06:00:00.000,30834.2,22.33,45023.27283,29.11444916,,,,
06/03/23 06:10:00.000,30793.7,22.37,44925.77779,29.04410629,,,,
06/03/23 06:20:00.000,30765.8,22.28,44967.4391,29.07416202,,,,
06/03/23 06:30:00.000,30763.3,22.18,45055.6939,29.13784645,,,,
06/03/23 06:40:00.000,30760.8,22.16,45069.43641,29.14776482,,,,
06/03/23 06:50:00.000,30725.4,22.11,45063.04094,29.14314896,,,,
06/03/23 07:00:00.000,30690.1,22.05,45066.1201,29.1453713,,,,
06/03/23 07:10:00.000,30715.3,22.05,45101.80651,29.17112917,,,,
06/03/23 07:20:00.000,30700.2,22.05,45078.38765,29.15422544,,,,
06/03/23 07:30:00.000,30685.1,22.04,45064.32274,29.14407408,,,,
06/03/23 07:40:00.000,20482.8,22.01,30111.8088,18.64854463,,,,
06/03/23 07:50:00.000,20830.4,21.97,30647.12809,19.01367932,,,,
06/03/23 08:00:00.000,20748.2,21.92,30557.40767,18.95242431,,,,
06/03/23 08:10:00.000,21997.7,21.9,32408.48968,20.22088591,,,,
06/03/23 08:20:00.000,20603.7,21.86,30381.2468,18.83222128,,,,
06/03/23 08:30:00.000,20944.2,21.86,30881.98161,19.17413121,,,,
06/03/23 08:40:00.000,20238.3,21.86,29841.25665,18.46432067,,,,
06/03/23 08:50:00.000,20205.7,21.85,29798.63955,18.43532134,,,,
06/03/23 09:00:00.000,18449.5,21.84,27215.8073,16.68781985,,,,
06/03/23 09:10:00.000,16358.3,21.8,24152.97076,14.64191481,,,,
06/03/23 09:20:00.000,14781.1,21.78,21834.47405,13.11321707,,,,
06/03/23 09:30:00.000,12746.4,21.76,18838.1205,11.16482273,,,,
06/03/23 09:40:00.000,26411.8,21.73,39032.592,24.83803568,,,,
06/03/23 09:50:00.000,30622.2,21.7,45273.45458,29.29506777,,,,
06/03/23 10:00:00.000,30659.9,21.7,45327.8363,29.33434995,,,,
06/03/23 10:10:00.000,30667.4,21.69,45347.08666,29.34825711,,,,
06/03/23 10:20:00.000,30637.3,21.66,45329.72528,29.33571458,,,,
06/03/23 10:30:00.000,30634.8,21.65,45334.21192,29.33895582,,,,
06/03/23 10:40:00.000,30629.8,21.62,45353.93988,29.35320835,,,,
06/03/23 10:50:00.000,30642.3,21.64,45352.19919,29.35195074,,,,
06/03/23 11:00:00.000,30607.2,21.59,45346.36654,29.34773685,,,,
06/03/23 11:10:00.000,30612.2,21.59,45352.48251,29.35215544,,,,
06/03/23 11:20:00.000,30612.2,21.59,45351.20106,29.35122962,,,,
06/03/23 11:30:00.000,30574.6,21.6,45284.83457,29.30328739,,,,
06/03/23 11:40:00.000,30599.7,21.62,45301.75144,29.31550683,,,,
06/03/23 11:50:00.000,30627.3,21.62,45341.27427,29.34405793,,,,
06/03/23 12:00:00.000,30602.2,21.64,45283.97297,29.30266505,,,,
06/03/23 12:10:00.000,30614.7,21.63,45310.62315,29.32191536,,,,
06/03/23 12:20:00.000,30584.6,21.66,45236.51798,29.26839128,,,,
06/03/23 12:30:00.000,30569.6,21.62,45250.85686,29.27874675,,,,
06/03/23 12:40:00.000,30602.2,21.62,45297.76608,29.31262804,,,,
06/03/23 12:50:00.000,30557.1,21.55,45296.02131,29.31136774,,,,
06/03/23 13:00:00.000,30524.7,21.49,45303.59321,29.31683722,,,,
06/03/23 13:10:00.000,30492.3,21.45,45292.19633,29.30860486,,,,
06/03/23 13:20:00.000,30514.7,21.45,45324.13881,29.33167886,,,,
06/03/23 13:30:00.000,30512.2,21.5,45271.75595,29.29384091,,,,
06/03/23 13:40:00.000,30524.7,21.53,45260.58859,29.28577525,,,,
06/03/23 13:50:00.000,30509.7,21.53,45237.10019,29.26881174,,,,
06/03/23 14:00:00.000,30499.8,21.54,45211.70957,29.25047602,,,,
06/03/23 14:10:00.000,30497.3,21.54,45206.73094,29.24688092,,,,
06/03/23 14:20:00.000,30474.9,21.53,45181.74327,29.22883813,,,,
06/03/23 14:30:00.000,30487.3,21.52,45208.27641,29.2479969,,,,
06/03/23 14:40:00.000,30482.3,21.49,45227.96847,29.26221712,,,,
06/03/23 14:50:00.000,30460,21.43,45250.44555,29.27844969,,,,
06/03/23 15:00:00.000,30447.5,21.39,45268.53768,29.29151647,,,,
06/03/23 15:10:00.000,30437.6,21.41,45233.6042,29.26628702,,,,
06/03/23 15:20:00.000,30445.1,21.39,45262.4151,29.28709443,,,,
06/03/23 15:30:00.000,30427.7,21.38,45244.78583,29.27436221,,,,
06/03/23 15:40:00.000,30432.6,21.37,45260.26592,29.2855422,,,,
06/03/23 15:50:00.000,30405.4,21.32,45266.02406,29.28970099,,,,
06/03/23 16:00:00.000,30390.5,21.31,45252.08689,29.27963509,,,,
06/03/23 16:10:00.000,30375.7,21.29,45247.78625,29.27652912,,,,
06/03/23 16:20:00.000,30323.8,21.28,45178.79638,29.22671038,,,,
06/03/23 16:30:00.000,30331.2,21.27,45198.01208,29.24058513,,,,
06/03/23 16:40:00.000,30343.6,21.27,45215.1828,29.2529841,,,,
06/03/23 16:50:00.000,30321.4,21.24,45209.34111,29.24876573,,,,
06/03/23 17:00:00.000,30346,21.24,45244.68333,29.27428819,,,,
06/03/23 17:10:00.000,30351,21.23,45260.35049,29.28560328,,,,
06/03/23 17:20:00.000,30309.1,21.22,45206.1805,29.24648344,,,,
06/03/23 17:30:00.000,30277.1,21.18,45195.21851,29.23856796,,,,
06/03/23 17:40:00.000,30299.2,21.16,45245.89406,29.27516258,,,,
06/03/23 17:50:00.000,30223.1,20.9,45378.99372,29.37131002,,,,
06/03/23 18:00:00.000,30237.8,20.84,45457.286,29.42788744,,,,
06/03/23 18:10:00.000,30196.2,20.8,45431.94813,29.40957546,,,,
06/03/23 18:20:00.000,30225.5,20.81,45465.06019,29.43350627,,,,
06/03/23 18:30:00.000,30267.2,20.75,45584.16359,29.51960819,,,,
06/03/23 18:40:00.000,30277.1,20.74,45607.40117,29.53641129,,,,
06/03/23 18:50:00.000,30284.5,20.73,45626.88709,29.55050264,,,,
06/03/23 19:00:00.000,30247.6,20.71,45589.38839,29.52338612,,,,
06/03/23 19:10:00.000,30250.1,20.68,45620.81528,29.54611167,,,,
06/03/23 19:20:00.000,30252.5,20.68,45623.13736,29.54779093,,,,
06/03/23 19:30:00.000,30245.2,20.68,45610.85764,29.53891079,,,,
06/03/23 19:40:00.000,30237.8,20.66,45617.73951,29.54388739,,,,
06/03/23 19:50:00.000,30215.7,20.63,45612.14056,29.53983851,,,,
06/03/23 20:00:00.000,30188.8,20.61,45589.63209,29.52356234,,,,
06/03/23 20:10:00.000,30179,20.59,45592.89108,29.52591888,,,,
06/03/23 20:20:00.000,30140,20.48,45639.16514,29.55938208,,,,
06/03/23 20:30:00.000,30154.6,20.45,45689.03504,29.59545177,,,,
06/03/23 20:40:00.000,30154.6,20.45,45687.74204,29.59451649,,,,
06/03/23 20:50:00.000,30135.1,20.47,45637.5739,29.55823127,,,,
06/03/23 21:00:00.000,30166.8,20.43,45723.02475,29.62003936,,,,
06/03/23 21:10:00.000,30188.8,20.43,45755.01068,29.64318017,,,,
06/03/23 21:20:00.000,30210.8,20.44,45777.26937,29.65928517,,,,
06/03/23 21:30:00.000,30205.9,20.36,45846.44776,29.70934649,,,,
06/03/23 21:40:00.000,30176.6,20.22,45937.46474,29.77523013,,,,
06/03/23 21:50:00.000,30191.3,20.12,46056.59952,29.86149928,,,,
06/03/23 22:00:00.000,30137.5,20.02,46071.67488,29.8724184,,,,
06/03/23 22:10:00.000,30159.5,19.97,46153.2355,29.9315031,,,,
06/03/23 22:20:00.000,30144.9,19.91,46188.88721,29.95733552,,,,
06/03/23 22:30:00.000,30132.7,19.81,46267.92209,30.014614,,,,
06/03/23 22:40:00.000,30149.7,19.76,46342.31301,30.06854153,,,,
06/03/23 22:50:00.000,30125.4,19.69,46373.34571,30.09104197,,,,
06/03/23 23:00:00.000,30144.9,19.64,46451.84035,30.147966,,,,
06/03/23 23:10:00.000,30137.5,19.53,46549.12427,30.21853784,,,,
06/03/23 23:20:00.000,30103.4,19.47,46555.36341,30.22306468,,,,
06/03/23 23:30:00.000,30098.6,19.45,46566.69878,30.23128935,,,,
06/03/23 23:40:00.000,30113.2,19.42,46618.04293,30.26854759,,,,
06/03/23 23:50:00.000,30091.3,19.34,46663.34505,30.30142699,,,,
06/04/23 00:00:00.000,30120.5,19.31,46737.44691,30.35522,,,,
06/04/23 00:10:00.000,30103.4,19.29,46729.83089,30.34969063,,,,
06/04/23 00:20:00.000,30098.6,19.28,46731.16636,30.3506602,,,,
06/04/23 00:30:00.000,30079.1,19.27,46709.73097,30.33509843,,,,
06/04/23 00:40:00.000,30091.3,19.27,46727.3062,30.34785769,,,,
06/04/23 00:50:00.000,30091.3,19.27,46725.98287,30.34689696,,,,
06/04/23 01:00:00.000,30091.3,19.27,46724.65955,30.34593623,,,,
06/04/23 01:10:00.000,30062.1,19.29,46657.94912,30.29751045,,,,
06/04/23 01:20:00.000,30088.9,19.31,46677.95718,30.31203331,,,,
06/04/23 01:30:00.000,30103.4,19.33,46678.91732,30.31273025,,,,
06/04/23 01:40:00.000,30088.9,19.33,46655.16667,30.29549088,,,,
06/04/23 01:50:00.000,30059.7,19.33,46608.67993,30.26175276,,,,
06/04/23 02:00:00.000,30088.9,19.34,46642.45647,30.28626581,,,,
06/04/23 02:10:00.000,30115.6,19.37,46652.2173,30.29335019,,,,
06/04/23 02:20:00.000,30071.8,19.37,46583.21096,30.24327079,,,,
06/04/23 02:30:00.000,30079.1,19.34,46623.33954,30.27239149,,,,
06/04/23 02:40:00.000,30079.1,19.35,46611.95952,30.26413276,,,,
06/04/23 02:50:00.000,30064.6,19.37,46568.12674,30.23232547,,,,
06/04/23 03:00:00.000,30064.6,19.38,46556.76433,30.22408113,,,,
06/04/23 03:10:00.000,30071.8,19.37,46576.61286,30.23848304,,,,
06/04/23 03:20:00.000,30071.8,19.38,46565.24836,30.23023695,,,,
06/04/23 03:30:00.000,30071.8,19.39,46553.88805,30.22199421,,,,
06/04/23 03:40:00.000,30069.4,19.4,46538.82632,30.21106634,,,,
06/04/23 03:50:00.000,30076.7,19.43,46518.6849,30.19645386,,,,
06/04/23 04:00:00.000,29999.2,19.45,46377.79569,30.09426866,,,,
06/04/23 04:10:00.000,30047.6,19.48,46421.11667,30.12568341,,,,
06/04/23 04:20:00.000,30052.4,19.5,46407.20811,30.11559692,,,,
06/04/23 04:30:00.000,30040.3,19.49,46397.24209,30.10836986,,,,
06/04/23 04:40:00.000,30023.4,19.48,46379.87478,30.09577623,,,,
06/04/23 04:50:00.000,30018.5,19.45,46400.98687,30.11108543,,,,
06/04/23 05:00:00.000,29979.8,19.45,46339.99518,30.06686107,,,,
06/04/23 05:10:00.000,30001.6,19.44,46382.29099,30.09752826,,,,
06/04/23 05:20:00.000,30023.4,19.43,46424.60198,30.12821104,,,,
06/04/23 05:30:00.000,30023.4,19.39,46463.33749,30.156305,,,,
06/04/23 05:40:00.000,30040.3,19.39,46488.1108,30.17427452,,,,
06/04/23 05:50:00.000,30033,19.38,46485.54808,30.17241556,,,,
06/04/23 06:00:00.000,30018.5,19.37,46471.86483,30.1624902,,,,
06/04/23 06:10:00.000,30004,19.37,46448.15483,30.14529291,,,,
06/04/23 06:20:00.000,29996.7,19.32,46485.69548,30.17252248,,,,
06/04/23 06:30:00.000,29999.2,19.31,46498.27986,30.18165119,,,,
06/04/23 06:40:00.000,29984.7,19.29,46494.61821,30.17899499,,,,
06/04/23 06:50:00.000,29967.8,19.28,46477.19728,30.16635812,,,,
06/04/23 07:00:00.000,29965.3,19.26,46492.09561,30.17716508,,,,
06/04/23 07:10:00.000,29984.7,19.26,46520.80208,30.19798981,,,,
06/04/23 07:20:00.000,29970.2,19.27,46486.99813,30.1734674,,,,
06/04/23 07:30:00.000,29962.9,19.27,46474.38523,30.16431838,,,,
06/04/23 07:40:00.000,17437.7,19.28,27069.98498,16.58975525,,,,
06/04/23 07:50:00.000,15095.6,19.29,23433.44372,14.1656011,,,,
06/04/23 08:00:00.000,14440.5,19.32,22402.5356,13.48611722,,,,
06/04/23 08:10:00.000,30011.2,19.31,46503.64745,30.18554496,,,,
06/04/23 08:20:00.000,30008.8,19.31,46498.61908,30.18189726,,,,
06/04/23 08:30:00.000,30011.2,19.31,46501.01011,30.18363176,,,,
06/04/23 08:40:00.000,29996.7,19.32,46467.24693,30.15914064,,,,
06/04/23 08:50:00.000,30025.8,19.31,46520.93819,30.19808856,,,,
06/04/23 09:00:00.000,30004,19.31,46485.92623,30.17268986,,,,
06/04/23 09:10:00.000,30020.9,19.31,46510.72667,30.1906805,,,,
06/04/23 09:20:00.000,30013.7,19.32,46488.24301,30.17437043,,,,
06/04/23 09:30:00.000,30035.5,19.33,46510.56659,30.19056437,,,,
06/04/23 09:40:00.000,30025.8,19.33,46494.26379,30.17873788,,,,
06/04/23 09:50:00.000,30013.7,19.32,46484.28752,30.17150117,,,,
06/04/23 10:00:00.000,30004,19.33,46457.95359,30.15239995,,,,
06/04/23 10:10:00.000,30013.7,19.32,46481.65052,30.16958835,,,,
06/04/23 10:20:00.000,29989.5,19.31,46452.97415,30.14878834,,,,
06/04/23 10:30:00.000,29984.7,19.28,46474.33908,30.1642849,,,,
06/04/23 10:40:00.000,29991.9,19.31,46454.04695,30.14956644,,,,
06/04/23 10:50:00.000,30016.1,19.29,46510.20141,30.19029945,,,,
06/04/23 11:00:00.000,30008.8,19.29,46497.59863,30.18115701,,,,
06/04/23 11:10:00.000,30006.4,19.29,46492.57001,30.17750921,,,,
06/04/23 11:20:00.000,30008.8,19.28,46505.00352,30.18652869,,,,
06/04/23 11:30:00.000,30004,19.26,46516.35745,30.19476538,,,,
06/04/23 11:40:00.000,29996.7,19.24,46523.85105,30.20020177,,,,
06/04/23 11:50:00.000,29994.3,19.21,46548.99585,30.21844466,,,,
06/04/23 12:00:00.000,29847.5,18.81,46723.98369,30.34544556,,,,
06/04/23 12:10:00.000,29826,18.66,46841.8258,30.43101598,,,,
06/04/23 12:20:00.000,29821.2,18.55,46945.49137,30.50632156,,,,
06/04/23 12:30:00.000,29823.6,18.51,46988.9536,30.53790193,,,,
06/04/23 12:40:00.000,29814,18.44,47044.45416,30.57823656,,,,
06/04/23 12:50:00.000,29809.2,18.47,47004.72917,30.5493659,,,,
06/04/23 13:00:00.000,29802.1,18.48,46981.9627,30.53282189,,,,
06/04/23 13:10:00.000,29816.4,18.48,47003.10791,30.54818772,,,,
06/04/23 13:20:00.000,29809.2,18.51,46959.66593,30.51662049,,,,
06/04/23 13:30:00.000,29830.8,18.54,46961.48525,30.51794241,,,,
06/04/23 13:40:00.000,29837.9,18.49,47022.62319,30.56237011,,,,
06/04/23 13:50:00.000,29845.1,18.55,46971.01064,30.52486369,,,,
06/04/23 14:00:00.000,29842.7,18.68,46832.93465,30.42455848,,,,
06/04/23 14:10:00.000,29845.1,18.68,46835.36124,30.42632085,,,,
06/04/23 14:20:00.000,29861.9,18.72,46819.50924,30.4148082,,,,
06/04/23 14:30:00.000,29861.9,18.79,46746.90119,30.3620842,,,,
06/04/23 14:40:00.000,29840.3,18.75,46752.53175,30.36617232,,,,
06/04/23 14:50:00.000,29866.7,18.81,46731.40627,30.35083438,,,,
06/04/23 15:00:00.000,29881.1,18.87,46691.60793,30.32194229,,,,
06/04/23 15:10:00.000,29871.5,18.93,46614.53293,30.26600031,,,,
06/04/23 15:20:00.000,29830.8,18.86,46620.7026,30.27047777,,,,
06/04/23 15:30:00.000,29885.9,18.97,46593.82751,30.25097466,,,,
06/04/23 15:40:00.000,29871.5,19.03,46509.54864,30.1898259,,,,
06/04/23 15:50:00.000,29828.4,19.01,46461.44126,30.15492962,,,,
06/04/23 16:00:00.000,29840.3,19.06,46428.25664,30.13086151,,,,
06/04/23 16:10:00.000,29873.9,19.13,46408.66422,30.11665287,,,,
06/04/23 16:20:00.000,29922,19.13,46481.87794,30.16975332,,,,
06/04/23 16:30:00.000,29895.5,19.16,46409.35349,30.11715272,,,,
06/04/23 16:40:00.000,29876.3,19.13,46408.42953,30.11648268,,,,
06/04/23 16:50:00.000,29840.3,19.11,46371.4103,30.08963862,,,,
06/04/23 17:00:00.000,29881.1,19.13,46413.2306,30.11996437,,,,
06/04/23 17:10:00.000,29924.4,19.16,46448.82806,30.1457812,,,,
06/04/23 17:20:00.000,29943.6,19.33,46306.79178,30.04278968,,,,
06/04/23 17:30:00.000,29943.6,19.29,46345.48616,30.07084213,,,,
06/04/23 17:40:00.000,29895.5,19.19,46370.02321,30.08863285,,,,
06/04/23 17:50:00.000,29866.7,19.18,46334.16989,30.06263772,,,,
06/04/23 18:00:00.000,29859.5,19.24,46261.65168,30.0100691,,,,
06/04/23 18:10:00.000,29878.7,19.24,46290.01004,30.03062454,,,,
06/04/23 18:20:00.000,29878.7,19.24,46288.69519,30.02967143,,,,
06/04/23 18:30:00.000,29900.3,19.24,46320.75977,30.05291568,,,,
06/04/23 18:40:00.000,29859.5,19.21,46286.40631,30.02801227,,,,
06/04/23 18:50:00.000,29845.1,19.19,46282.84069,30.02542766,,,,
06/04/23 19:00:00.000,29804.4,19.16,46248.57768,30.00059316,,,,
06/04/23 19:10:00.000,29806.8,19.13,46281.02146,30.02410898,,,,
06/04/23 19:20:00.000,29888.3,19.21,46325.67475,30.05647888,,,,
06/04/23 19:30:00.000,29873.9,19.23,46282.07806,30.02487487,,,,
06/04/23 19:40:00.000,29866.7,19.19,46309.67492,30.04487975,,,,
06/04/23 19:50:00.000,29782.9,19.06,46308.91416,30.04432825,,,,
06/04/23 20:00:00.000,29747.2,18.89,46423.16489,30.12716883,,,,
06/04/23 20:10:00.000,29675.9,18.69,46512.83976,30.19221344,,,,
06/04/23 20:20:00.000,29718.6,18.69,46578.25925,30.2396777,,,,
06/04/23 20:30:00.000,29723.4,18.71,46564.14494,30.22943632,,,,
06/04/23 20:40:00.000,29773.4,18.72,46630.77733,30.27778944,,,,
06/04/23 20:50:00.000,29780.6,18.72,46640.69773,30.28498934,,,,
06/04/23 21:00:00.000,29771,18.75,46593.93287,30.25105112,,,,
06/04/23 21:10:00.000,29828.4,18.79,46641.57967,30.28562944,,,,
06/04/23 21:20:00.000,29821.2,18.79,46629.02642,30.27651871,,,,
06/04/23 21:30:00.000,29814,18.75,46657.07049,30.29687271,,,,
06/04/23 21:40:00.000,29818.8,18.48,46938.84256,30.50149085,,,,
06/04/23 21:50:00.000,29826,18.44,46989.87881,30.53857425,,,,
06/04/23 22:00:00.000,29811.6,18.38,47027.60728,30.56599238,,,,
06/04/23 22:10:00.000,29804.4,18.35,47045.83076,30.57923709,,,,
06/04/23 22:20:00.000,29814,18.3,47111.16671,30.62672985,,,,
06/04/23 22:30:00.000,29806.8,18.28,47119.13072,30.63251965,,,,
