Date Time,High Range (μS/cm)  #20636185,Temp (°C)  #20636185,Specific Conductance (μS/cm),Salinity (ppt),Coupler Detached,Coupler Attached,Stopped,End Of File
06/02/23 11:00:00.000,0,24.38,,,Logged,,,
06/02/23 11:10:00.000,0,24.84,,,,,,
06/02/23 11:20:00.000,0,25.2,,,,,,
06/02/23 11:30:00.000,0,26.51,,,,,,
06/02/23 11:40:00.000,0,26.41,,,,,,
06/02/23 11:50:00.000,0,27.09,,,,,,
06/02/23 12:00:00.000,0,31.18,,,,,,
06/02/23 12:10:00.000,30064.6,22.22,44133.69099,28.47352247,,,,
06/02/23 12:20:00.000,30697.7,21.81,45446.00858,29.41973691,,,,
06/02/23 12:30:00.000,30687.6,21.7,45534.06659,29.48338775,,,,
06/02/23 12:40:00.000,30685.1,21.73,45500.60668,29.45919963,,,,
06/02/23 12:50:00.000,30712.8,21.73,45540.34392,29.48792595,,,,
06/02/23 13:00:00.000,30730.4,21.75,45546.13091,29.49210974,,,,
06/02/23 13:10:00.000,30738,21.75,45556.09758,29.4993155,,,,
06/02/23 13:20:00.000,30760.8,21.78,45560.07104,29.50218832,,,,
06/02/23 13:30:00.000,30735.5,21.78,45521.36692,29.47420684,,,,
06/02/23 13:40:00.000,30722.9,21.8,45482.49661,29.44610908,,,,
06/02/23 13:50:00.000,30722.9,21.84,45443.35198,29.41781695,,,,
06/02/23 14:00:00.000,30788.6,21.89,45491.76993,29.45281204,,,,
06/02/23 14:10:00.000,30796.2,21.9,45492.24117,29.45315266,,,,
06/02/23 14:20:00.000,30770.9,21.97,45387.54348,29.37748768,,,,
06/02/23 14:30:00.000,30854.6,22.12,45368.11288,29.3634483,,,,
06/02/23 14:40:00.000,30869.8,22.04,45464.54324,29.43313264,,,,
06/02/23 14:50:00.000,30874.9,22.04,45470.76498,29.43762953,,,,
06/02/23 15:00:00.000,30887.7,22.01,45516.65035,29.47079722,,,,
06/02/23 15:10:00.000,30844.4,22.05,45413.91615,29.39654455,,,,
06/02/23 15:20:00.000,30798.7,22.02,45373.68013,29.36747076,,,,
06/02/23 15:30:00.000,30849.5,21.99,45475.47051,29.44103062,,,,
06/02/23 15:40:00.000,30781,22.13,45241.71839,29.27214693,,,,
06/02/23 15:50:00.000,30862.2,22.17,45322.06444,29.33018033,,,,
06/02/23 16:00:00.000,30910.6,22.38,45195.02371,29.23842731,,,,
06/02/23 16:10:00.000,30895.3,22.23,45311.72709,29.32271281,,,,
06/02/23 16:20:00.000,30913.2,22.26,45308.53497,29.32040693,,,,
06/02/23 16:30:00.000,30846.9,22.32,45154.12676,29.208899,,,,
06/02/23 16:40:00.000,30836.8,22.42,45044.93041,29.13007847,,,,
06/02/23 16:50:00.000,30813.9,22.58,44861.97845,28.99808819,,,,
06/02/23 17:00:00.000,30849.5,22.57,44921.74575,29.04119769,,,,
06/02/23 17:10:00.000,30836.8,22.36,45096.9744,29.16764124,,,,
06/02/23 17:20:00.000,30854.6,22.58,44917.37988,29.03804833,,,,
06/02/23 17:30:00.000,30824.1,22.54,44908.75553,29.0318272,,,,
06/02/23 17:40:00.000,30885.1,22.54,44996.27284,29.09496616,,,,
06/02/23 17:50:00.000,30869.8,22.53,44982.00783,29.08467339,,,,
06/02/23 18:00:00.000,30839.3,22.39,45066.33631,29.14552734,,,,
06/02/23 18:10:00.000,30849.5,22.38,45089.26821,29.16207886,,,,
06/02/23 18:20:00.000,30864.7,22.36,45128.83233,29.19063815,,,,
06/02/23 18:30:00.000,30844.4,22.34,45116.55466,29.18177511,,,,
06/02/23 18:40:00.000,30857.1,22.42,45059.31736,29.14046156,,,,
06/02/23 18:50:00.000,30864.7,22.29,45190.36317,29.2350621,,,,
06/02/23 19:00:00.000,30844.4,22.32,45131.3954,29.19248844,,,,
06/02/23 19:10:00.000,30867.3,22.38,45107.63038,29.17533306,,,,
06/02/23 19:20:00.000,30852,22.29,45167.97051,29.21889395,,,,
06/02/23 19:30:00.000,30859.7,22.32,45149.94093,29.20587701,,,,
06/02/23 19:40:00.000,30887.7,22.39,45124.27323,29.18734697,,,,
